5.0, 20.0, 16.0, Fitness, 0, Fatigue, 0, Form, 0
5.0, 21.0, 16.0, Fitness, 50.0, Fatigue, 50.0, Form, 0.0
5.0, 22.0, 16.0, Fitness, 95.5, Fatigue, 95.5, Form, 0.0
5.0, 23.0, 16.0, Fitness, 63.66666666666667, Fatigue, 63.66666666666667, Form, 0.0
5.0, 24.0, 16.0, Fitness, 47.75, Fatigue, 47.75, Form, 0.0
5.0, 25.0, 16.0, Fitness, 71.4, Fatigue, 71.4, Form, 0.0
5.0, 26.0, 16.0, Fitness, 79.83333333333334, Fatigue, 79.83333333333334, Form, 0.0
5.0, 27.0, 16.0, Fitness, 68.42857142857143, Fatigue, 68.42857142857143, Form, 0.0
5.0, 28.0, 16.0, Fitness, 59.875, Fatigue, 59.875, Form, 0.0
5.0, 29.0, 16.0, Fitness, 53.22222222222222, Fatigue, 53.22222222222222, Form, 0.0
5.0, 30.0, 16.0, Fitness, 57.58, Fatigue, 57.58, Form, 0.0
5.0, 31.0, 16.0, Fitness, 73.61818181818182, Fatigue, 75.22200000000001, Form, -1.603818181818184
6.0, 1.0, 16.0, Fitness, 83.65, Fatigue, 87.0998, Form, -3.449799999999996
6.0, 2.0, 16.0, Fitness, 90.13846153846154, Fatigue, 95.18982, Form, -5.051358461538456
6.0, 3.0, 16.0, Fitness, 83.7, Fatigue, 85.670838, Form, -1.9708380000000005
6.0, 4.0, 16.0, Fitness, 78.12, Fatigue, 77.1037542, Form, 1.0162458000000072
6.0, 5.0, 16.0, Fitness, 73.23750000000001, Fatigue, 69.39337877999999, Form, 3.8441212200000194
6.0, 6.0, 16.0, Fitness, 68.92941176470589, Fatigue, 62.454040901999996, Form, 6.475370862705894
6.0, 7.0, 16.0, Fitness, 74.4888888888889, Fatigue, 73.1086368118, Form, 1.3802520770888975
6.0, 8.0, 16.0, Fitness, 77.09473684210526, Fatigue, 78.19777313061999, Form, -1.1030362885147298
6.0, 9.0, 16.0, Fitness, 78.44, Fatigue, 80.777995817558, Form, -2.337995817557996
6.0, 10.0, 16.0, Fitness, 74.70476190476191, Fatigue, 72.7001962358022, Form, 2.0045656689597138
6.0, 11.0, 16.0, Fitness, 71.30909090909091, Fatigue, 65.43017661222197, Form, 5.878914296868942
6.0, 12.0, 16.0, Fitness, 68.20869565217392, Fatigue, 58.887158950999776, Form, 9.32153670117414
6.0, 13.0, 16.0, Fitness, 65.36666666666667, Fatigue, 52.9984430558998, Form, 12.368223610766876
6.0, 14.0, 16.0, Fitness, 62.75200000000001, Fatigue, 47.69859875030982, Form, 15.05340124969019
6.0, 15.0, 16.0, Fitness, 62.04615384615386, Fatigue, 47.36873887527884, Form, 14.67741497087502
6.0, 16.0, 16.0, Fitness, 63.674074074074085, Fatigue, 53.23186498775095, Form, 10.442209086323132
6.0, 17.0, 16.0, Fitness, 63.282142857142865, Fatigue, 53.178678488975855, Form, 10.10346436816701
6.0, 18.0, 16.0, Fitness, 70.27241379310345, Fatigue, 74.46081064007826, Form, -4.188396846974811
6.0, 19.0, 16.0, Fitness, 71.01666666666667, Fatigue, 76.27472957607044, Form, -5.258062909403776
6.0, 20.0, 16.0, Fitness, 68.7258064516129, Fatigue, 68.6472566184634, Form, 0.07854983314949493
6.0, 21.0, 16.0, Fitness, 66.578125, Fatigue, 61.78253095661706, Form, 4.795594043382941
6.0, 22.0, 16.0, Fitness, 71.83333333333333, Fatigue, 79.60427786095535, Form, -7.770944527622021
6.0, 23.0, 16.0, Fitness, 69.72058823529412, Fatigue, 71.64385007485981, Form, -1.923261839565697
6.0, 24.0, 16.0, Fitness, 77.14285714285714, Fatigue, 97.42946506737383, Form, -20.286607924516687
6.0, 25.0, 16.0, Fitness, 81.25, Fatigue, 110.18651856063644, Form, -28.936518560636443
6.0, 26.0, 16.0, Fitness, 82.3891891891892, Fatigue, 111.5078667045728, Form, -29.11867751538361
6.0, 27.0, 16.0, Fitness, 80.22105263157896, Fatigue, 100.35708003411553, Form, -20.13602740253657
6.0, 28.0, 16.0, Fitness, 81.9974358974359, Fatigue, 105.27137203070397, Form, -23.273936133268066
6.0, 29.0, 16.0, Fitness, 80.9975, Fatigue, 98.94423482763358, Form, -17.946734827633577
6.0, 30.0, 16.0, Fitness, 85.16829268292683, Fatigue, 114.24981134487022, Form, -29.08151866194339
